fixture_id,date,status_short,status_long,league_name,league_country,league_season,round,team_id,team_name,venue,opponent_id,opponent,goals_for,goals_against,goal_difference,result,home_team,away_team,home_goals,away_goals,possession_pct,conversion_rate
1001,2026-05-30T19:00:00Z,FT,Match Finished,International Friendlies,World,2026,Friendly,26,Argentina,home,2,France,2,1,1,W,Argentina,France,2,1,58,15.4
1002,2026-05-20T19:00:00Z,FT,Match Finished,World Cup Qualifiers,World,2026,Group,26,Argentina,away,7,Brazil,1,1,0,D,Brazil,Argentina,1,1,51,8.3
1003,2026-04-12T19:00:00Z,FT,Match Finished,World Cup Qualifiers,World,2026,Group,26,Argentina,home,9,Uruguay,3,0,3,W,Argentina,Uruguay,3,0,62,21.4
1004,2026-03-28T19:00:00Z,FT,Match Finished,International Friendlies,World,2026,Friendly,26,Argentina,away,10,Spain,1,2,-1,L,Spain,Argentina,2,1,49,9.1
1005,2026-03-14T19:00:00Z,FT,Match Finished,World Cup Qualifiers,World,2026,Group,26,Argentina,home,11,Chile,2,0,2,W,Argentina,Chile,2,0,57,16.7
1006,2026-02-25T19:00:00Z,FT,Match Finished,International Friendlies,World,2026,Friendly,26,Argentina,away,12,Netherlands,1,1,0,D,Netherlands,Argentina,1,1,53,10.0
1007,2026-02-02T19:00:00Z,FT,Match Finished,World Cup Qualifiers,World,2026,Group,26,Argentina,home,13,Colombia,2,1,1,W,Argentina,Colombia,2,1,55,14.3
1008,2026-01-18T19:00:00Z,FT,Match Finished,International Friendlies,World,2026,Friendly,26,Argentina,away,14,England,0,0,0,D,England,Argentina,0,0,50,0.0
1009,2025-12-12T19:00:00Z,FT,Match Finished,World Cup Qualifiers,World,2026,Group,26,Argentina,home,15,Ecuador,3,1,2,W,Argentina,Ecuador,3,1,60,18.8
1010,2025-11-27T19:00:00Z,FT,Match Finished,International Friendlies,World,2026,Friendly,26,Argentina,away,16,Portugal,1,0,1,W,Portugal,Argentina,0,1,52,11.1
